Start_Myr,End_Myr,Polarity
0.78,0,normal
0.99,0.78,reverse
1.07,0.99,normal
1.201,1.07,reverse
1.211,1.201,normal
1.77,1.211,reverse
1.95,1.77,normal
2.14,1.95,reverse
2.15,2.14,normal
2.581,2.15,reverse
3.04,2.581,normal
3.11,3.04,reverse
3.22,3.11,normal
3.33,3.22,reverse
3.58,3.33,normal
4.18,3.58,reverse
4.29,4.18,normal
4.48,4.29,reverse
4.62,4.48,normal
4.8,4.62,reverse
4.89,4.8,normal
4.98,4.89,reverse
5.23,4.98,normal
5.894,5.23,reverse
6.137,5.894,normal
6.269,6.137,reverse
6.567,6.269,normal
6.935,6.567,reverse
7.091,6.935,normal
7.135,7.091,reverse
7.17,7.135,normal
7.341,7.17,reverse
7.375,7.341,normal
7.432,7.375,reverse
7.562,7.432,normal
7.65,7.562,reverse
8.072,7.65,normal
8.225,8.072,reverse
8.257,8.225,normal
8.606,8.257,reverse
8.664,8.606,normal
8.699,8.664,reverse
9.025,8.699,normal
9.097,9.025,reverse
9.117,9.097,normal
9.23,9.117,reverse
9.308,9.23,normal
9.58,9.308,reverse
9.642,9.58,normal
9.74,9.642,reverse
9.88,9.74,normal
9.92,9.88,reverse
10.949,9.92,normal
11.052,10.949,reverse
11.099,11.052,normal
11.167,11.099,reverse
11.193,11.167,normal
11.352,11.193,reverse
11.363,11.352,normal
11.476,11.363,reverse
11.531,11.476,normal
11.555,11.531,reverse
11.584,11.555,normal
11.935,11.584,reverse
12.078,11.935,normal
12.184,12.078,reverse
12.401,12.184,normal
12.678,12.401,reverse
12.708,12.678,normal
12.775,12.708,reverse
12.819,12.775,normal
12.991,12.819,reverse
13.139,12.991,normal
13.302,13.139,reverse
13.51,13.302,normal
13.703,13.51,reverse
14.076,13.703,normal
14.178,14.076,reverse
14.612,14.178,normal
14.8,14.612,reverse
14.888,14.8,normal
15.034,14.888,reverse
15.155,15.034,normal
16.014,15.155,reverse
16.293,16.014,normal
16.327,16.293,reverse
16.488,16.327,normal
16.556,16.488,reverse
16.726,16.556,normal
17.277,16.726,reverse
17.615,17.277,normal
17.793,17.615,reverse
17.854,17.793,normal
18.281,17.854,reverse
18.781,18.281,normal
19.048,18.781,reverse
20.131,19.048,normal
20.518,20.131,reverse
20.725,20.518,normal
20.996,20.725,reverse
21.32,20.996,normal
21.768,21.32,reverse
21.859,21.768,normal
22.151,21.859,reverse
22.248,22.151,normal
22.459,22.248,reverse
22.493,22.459,normal
22.588,22.493,reverse
22.75,22.588,normal
22.804,22.75,reverse
23.069,22.804,normal
23.353,23.069,reverse
23.535,23.353,normal
23.677,23.535,reverse
23.8,23.677,normal
23.999,23.8,reverse
24.118,23.999,normal
24.73,24.118,reverse
24.781,24.73,normal
24.835,24.781,reverse
25.183,24.835,normal
25.496,25.183,reverse
25.648,25.496,normal
25.678,25.648,reverse
25.705,25.678,normal
25.823,25.705,reverse
25.951,25.823,normal
25.992,25.951,reverse
26.554,25.992,normal
27.027,26.554,reverse
27.972,27.027,normal
28.283,27.972,reverse
28.512,28.283,normal
28.578,28.512,reverse
28.745,28.578,normal
29.401,28.745,reverse
29.662,29.401,normal
29.765,29.662,reverse
30.098,29.765,normal
30.479,30.098,reverse
30.939,30.479,normal
33.058,30.939,reverse
33.545,33.058,normal
34.655,33.545,reverse
34.94,34.655,normal
35.343,34.94,reverse
35.526,35.343,normal
35.685,35.526,reverse
36.341,35.685,normal
36.618,36.341,reverse
37.473,36.618,normal
37.604,37.473,reverse
37.848,37.604,normal
37.92,37.848,reverse
38.113,37.92,normal
38.426,38.113,reverse
39.552,38.426,normal
39.631,39.552,reverse
40.13,39.631,normal
41.257,40.13,reverse
