STATION,NAME,DATE,HLY-WIND-1STDIR,HLY-WIND-1STPCT,HLY-WIND-2NDDIR,HLY-WIND-2NDPCT,HLY-WIND-AVGSPD,HLY-WIND-PCTCLM,HLY-WIND-VCTDIR,HLY-WIND-VCTSPD,YEAR,MONTH,DAY,HOUR
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T01:00:00,4,172,5,150,6.5,227,183,1.4,2010,1,1,1
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T02:00:00,4,167,6,141,6.8,176,178,1.3,2010,1,1,2
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T03:00:00,4,187,5,150,6.3,200,178,1.5,2010,1,1,3
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T04:00:00,4,179,5,139,6.2,228,171,1.3,2010,1,1,4
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T05:00:00,5,177,4,168,6.4,198,181,1.5,2010,1,1,5
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T06:00:00,4,214,5,127,6.5,207,162,1.4,2010,1,1,6
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T07:00:00,4,244,5,152,6.8,185,156,1.9,2010,1,1,7
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T08:00:00,4,280,5,150,6.9,207,141,2.3,2010,1,1,8
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T09:00:00,4,267,3,149,7.3,176,130,2.3,2010,1,1,9
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T10:00:00,4,266,3,213,7.7,112,114,2.3,2010,1,1,10
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T11:00:00,3,237,2,206,8,83,97,2.1,2010,1,1,11
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T12:00:00,2,232,3,204,8.3,78,83,1.5,2010,1,1,12
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T13:00:00,2,209,1,169,8.6,100,52,0.5,2010,1,1,13
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T14:00:00,2,243,1,178,8.2,94,357,0.6,2010,1,1,14
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T15:00:00,2,195,1,194,8,143,312,0.8,2010,1,1,15
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T16:00:00,1,185,2,163,8,144,299,1.1,2010,1,1,16
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T17:00:00,2,168,7,156,7.9,162,276,1.5,2010,1,1,17
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T18:00:00,7,213,4,158,7.9,129,271,1.5,2010,1,1,18
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T19:00:00,7,180,4,144,7.5,138,249,1.1,2010,1,1,19
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T20:00:00,7,155,4,149,7.2,163,208,0.8,2010,1,1,20
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T21:00:00,7,164,5,162,7.1,140,190,1.2,2010,1,1,21
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T22:00:00,4,210,5,130,6.7,194,185,1.4,2010,1,1,22
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-01T23:00:00,4,193,5,150,6.7,194,186,1.5,2010,1,1,23
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T00:00:00,4,171,5,160,6.5,187,168,1.3,2010,1,2,0
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T01:00:00,4,180,5,159,6.4,225,183,1.6,2010,1,2,1
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T02:00:00,4,180,5,155,6.7,167,174,1.6,2010,1,2,2
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T03:00:00,4,195,5,154,6.3,205,173,1.7,2010,1,2,3
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T04:00:00,4,189,5,138,6.1,223,166,1.5,2010,1,2,4
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T05:00:00,5,175,4,170,6.3,196,173,1.5,2010,1,2,5
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T06:00:00,4,219,5,131,6.4,218,155,1.5,2010,1,2,6
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T07:00:00,4,242,5,160,6.7,187,152,1.9,2010,1,2,7
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T08:00:00,4,274,5,147,6.8,207,138,2.2,2010,1,2,8
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T09:00:00,4,262,3,155,7.2,174,128,2.3,2010,1,2,9
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01-02T10:00:00,4,266,3,217,7.7,112,115,2.4,2010,1,2,10
