PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P566
Station name, Visalia_MYCS2005
Begin Date, 2005-11-16
End Date, 2019-11-22
Release Date, 2019-11-23
Source file, P566.cwu.nam14.pos
Offset from source file, 62.17 mm North, -73.30 mm East, -82.02 mm Vertical
Reference position, 36.3244546817 North Latitude, -119.2292876213 East Longitude, 78.14754 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-11-16,0.00, 0.00, 0.00, 2.11, 1.71, 7.7, repro,
2005-11-17,0.42, -1.76, 0.69, 2.02, 1.61, 7.36, repro,
2005-11-18,0.18, -0.66, 5.47, 2, 1.62, 7.35, repro,
2005-11-19,0.56, -0.87, 4.77, 2.02, 1.62, 7.37, repro,
2005-11-20,-0.09, -1.13, -3.58, 2.04, 1.65, 7.46, repro,
2005-11-21,0.11, -1.87, 6.85, 2.13, 1.69, 7.86, repro,
2005-11-22,0.07, -1.41, 4.50, 2.1, 1.73, 7.77, repro,
2005-11-23,0.44, -1.36, 9.25, 2.04, 1.65, 7.45, repro,
2005-11-24,-0.67, -0.84, 6.60, 2.01, 1.63, 7.42, repro,
2005-11-25,0.42, -1.74, 8.56, 2.04, 1.67, 7.55, repro,
2005-11-26,1.15, -2.57, 6.69, 2.14, 1.75, 7.9, repro,
2005-11-27,0.11, -1.03, 8.80, 2.06, 1.67, 7.59, repro,
2005-11-28,0.84, -0.63, 1.99, 2.11, 1.73, 7.8, repro,
2005-11-29,0.13, -1.41, 7.14, 2.06, 1.67, 7.52, repro,
2005-11-30,1.04, -1.20, 4.83, 2.06, 1.7, 7.61, repro,
2005-12-01,0.15, -1.51, 2.86, 2.05, 1.64, 7.42, repro,
2005-12-02,-0.36, -1.95, 2.54, 2.06, 1.65, 7.45, repro,
2005-12-03,0.61, -1.69, 3.05, 2.05, 1.64, 7.42, repro,
2005-12-04,1.15, -0.78, 0.02, 2.04, 1.65, 7.41, repro,
2005-12-05,0.62, -1.21, -1.38, 2.04, 1.65, 7.44, repro,
2005-12-06,0.25, -1.55, -1.66, 2.07, 1.63, 7.47, repro,
2005-12-07,0.34, -1.72, -0.68, 2.06, 1.69, 7.54, repro,
2005-12-08,0.06, -1.96, 4.46, 2.08, 1.69, 7.63, repro,
2005-12-09,2.44, -1.10, -0.20, 2.06, 1.65, 7.52, repro,
2005-12-10,-0.08, -1.69, 1.29, 2.03, 1.65, 7.44, repro,
2005-12-11,0.51, -2.06, 6.77, 2, 1.61, 7.31, repro,
2005-12-12,1.05, -1.32, -1.98, 2.01, 1.61, 7.32, repro,
2005-12-13,0.12, -1.49, 9.05, 2.01, 1.61, 7.35, repro,
2005-12-14,1.55, -1.54, -0.85, 2.04, 1.64, 7.42, repro,
2005-12-15,1.05, -2.52, -0.57, 2.1, 1.68, 7.65, repro,
2005-12-16,0.58, -2.83, 4.90, 2.01, 1.61, 7.37, repro,
2005-12-17,0.79, -2.68, 5.82, 2.09, 1.72, 7.66, repro,
2005-12-18,1.27, -2.74, 9.68, 2.03, 1.74, 7.45, repro,
2005-12-19,0.86, -1.70, -0.58, 2.21, 1.81, 7.94, repro,
2005-12-20,2.28, -0.50, -3.66, 2.07, 1.73, 7.58, repro,
2005-12-21,1.46, -1.60, 2.46, 2.07, 1.76, 7.58, repro,
2005-12-22,1.75, -2.47, 5.48, 2.09, 1.82, 7.66, repro,
2005-12-23,1.48, -2.93, 1.91, 2.11, 1.74, 7.6, repro,
2005-12-24,1.03, -2.51, 3.68, 2.23, 1.86, 8.11, repro,
2005-12-25,0.79, -1.80, 5.18, 2.08, 1.71, 7.53, repro,
2005-12-26,1.23, -2.05, 11.83, 2.24, 1.85, 8.05, repro,
2005-12-27,1.76, -2.45, 4.47, 2.19, 1.8, 8.04, repro,
2005-12-28,-0.74, -2.77, -4.36, 2.06, 1.67, 7.43, repro,
2005-12-29,1.46, -2.28, 1.94, 2.22, 1.83, 8.15, repro,
2005-12-30,0.01, -1.63, 10.12, 2.24, 1.85, 8.15, repro,
2005-12-31,1.53, -2.64, 10.81, 2.18, 1.78, 7.93, repro,
2006-01-01,2.38, -2.83, 4.44, 2.2, 1.81, 8.02, repro,
2006-01-02,0.75, -2.45, 7.96, 2.11, 1.69, 7.51, repro,
2006-01-03,1.88, -2.29, 4.85, 2.32, 2.02, 8.48, repro,
2006-01-04,2.03, -1.72, 0.67, 2.26, 1.96, 8.32, repro,
2006-01-05,2.95, -1.41, -4.39, 2.13, 1.78, 7.71, repro,
2006-01-06,3.20, -2.35, -0.32, 2.25, 1.84, 8.16, repro,
2006-01-07,2.54, -2.47, 7.76, 2.1, 1.73, 7.56, repro,
2006-01-08,2.72, -2.21, -3.85, 2.12, 1.78, 7.65, repro,
2006-01-09,1.69, -2.32, 4.00, 2.18, 1.82, 7.97, repro,
2006-01-10,2.38, -1.74, 0.33, 2.18, 1.82, 7.92, repro,
2006-01-11,3.15, -2.41, 3.70, 2.19, 1.81, 7.92, repro,
2006-01-12,2.93, -3.15, 5.53, 2.16, 1.79, 7.72, repro,
2006-01-13,2.35, -1.69, 3.30, 2.28, 1.91, 8.4, repro,
2006-01-14,2.93, -2.81, 2.10, 2.13, 1.68, 7.65, repro,
2006-01-15,2.00, -2.38, 6.57, 2.04, 1.64, 7.34, repro,
2006-01-16,3.10, -3.39, 0.31, 2.17, 1.82, 7.73, repro,
2006-01-17,3.29, -2.85, -0.97, 2.15, 1.77, 7.71, repro,
2006-01-18,4.47, -2.80, 0.12, 2.07, 1.66, 7.49, repro,
2006-01-19,1.91, -1.82, 4.76, 2.11, 1.66, 7.67, repro,
2006-01-20,1.73, -2.67, -7.12, 2.07, 1.64, 7.53, repro,
2006-01-21,3.33, -2.07, -2.96, 2.06, 1.66, 7.39, repro,
2006-01-22,2.66, -2.73, -3.95, 2.05, 1.61, 7.28, repro,
2006-01-23,3.21, -3.04, -0.77, 2.11, 1.67, 7.5, repro,
2006-01-24,2.82, -2.18, -5.07, 2.09, 1.64, 7.53, repro,
2006-01-25,2.42, -1.84, -3.38, 1.96, 1.57, 7.13, repro,
